id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
1EXS0FNpWbCjlYY5LKCqer,0.415,0.118,90.009,0.0575,0.879,0.907,4,0.72,8,175333,-7.212,0.514,0
52A1HqtgXF8ZFKTbX7UpFr,0.441,0.104,163.999,0.0737,0.894,0.919,4,0.684,2,143780,-8.85,0.403,0
6xcEtzi1MBRvAe2R1qrDir,0.496,0.138,147.917,0.0323,0.547,0.842,4,0.565,9,125094,-7.668,0.418,1
0PvlcijhpAcsJt0a0sv48p,0.375,0.11,79.99,0.245,0.684,0.924,4,0.78,7,123375,-12.041,0.439,1
6NBHmshG37zEi6efc7Dizj,0.473,0.104,140.036,0.0491,0.908,0.916,4,0.858,9,137973,-8.535,0.206,0
7An9ystJ5VTcPIsTO7x4tb,0.273,0.166,88.004,0.0727,0.32,0.47,4,0.889,1,109091,-10.629,0.395,1
1Fq0VPFph4hIF4971B8and,0.477,0.113,84.993,0.0785,0.966,0.94,4,0.778,2,171275,-11.519,0.524,0
1aonf4JP5wqsJC6mKKeF2N,0.38,0.0655,81.972,0.0677,0.138,0.965,4,0.744,9,111948,-13.355,0.901,1
7GtYYBupIPtnzdmviZyLfR,0.566,0.102,169.983,0.153,0.5,0.935,4,0.795,1,142970,-5.939,0.701,1
7vhJhZb5dYQ6Sn4kEdJPys,0.3,0.11,84.023,0.237,0.781,0.878,4,0.814,10,110000,-9.923,0.43,1
1CM4tAWU2hGEPnIQ8njOwN,0.449,0.11,84.961,0.0391,0.555,0.796,4,0.592,3,115588,-10.784,0.42,0
7HWM9W8rJ6Hj4sCGecvZCh,0.625,0.674,84.908,0.0469,0.734,0.954,4,0.499,0,152471,-7.418,0.654,0
4MRPwM1HeOHd76PjSffHAG,0.169,0.102,80.006,0.0553,0.416,0.927,4,0.67,11,120000,-18.533,0.25,1
0RcJ25jRLBauXlXYNuHULr,0.337,0.101,80.018,0.067,0.692,0.909,4,0.735,5,169799,-11.795,0.489,1
1Qm8jGs8iEgrvfbPCAawqR,0.38,0.103,79.981,0.14,0.846,0.767,4,0.737,5,132750,-12.844,0.943,1
2AAoaN6bnREdznndvohdSw,0.249,0.109,99.745,0.0776,0.678,0.824,3,0.81,3,114736,-15.367,0.16,1
4ZV3kIHh2khLBZSZKlezQI,0.21,0.101,145.043,0.0722,0.156,0.873,4,0.705,0,172241,-13.271,0.89,1
1Ou9wBe9oTjj4Seohu0Vvf,0.679,0.0977,80.042,0.318,0.123,0.824,4,0.635,0,138562,-6.76,0.663,1
