id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2xm9ihELo6xwrRKrBbPql9,0.113,0.179,95.063,0.0569,0.976,0.88,4,0.659,10,182360,-16.756,0.738,0
2kF9Ijd7I2Kk2P4bYqUmzG,0.356,0.132,148.822,0.0419,0.546,0.000103,4,0.652,5,242347,-13.733,0.56,0
6LPqphk2rbt2i63bR2o247,0.0822,0.11,127.422,0.0453,0.962,0.583,4,0.564,8,169507,-17.658,0.483,1
7KsJkshpIjjeIwyKnkhQUc,0.215,0.184,171.46,0.0346,0.965,0.000928,3,0.147,3,266800,-14.594,0.102,0
3zIuHdD8dkh1vPxQu334T7,0.286,0.156,136.098,0.045,0.643,0.00112,4,0.503,8,643128,-15.425,0.569,1
1sce5VJvCOYYDAR9rp9KdG,0.187,0.166,107.469,0.0512,0.927,0.877,4,0.575,0,525613,-13.081,0.342,0
10kVwPSRjUYja0EtdqmXHe,0.444,0.122,142.81,0.044,0.82,0.000474,4,0.599,5,369387,-8.648,0.508,0
6Kr25pa3pTd4no3yA0EcW1,0.0644,0.126,113.713,0.0359,0.971,0.000134,4,0.417,4,191960,-19.687,0.138,0
5m3XMzewNg9EADweC7j7Nn,0.106,0.147,118.785,0.0353,0.947,0.000103,4,0.438,0,291173,-14.939,0.0508,1
7ysmJhXFQtiBQlk6EZ6sks,0.159,0.212,59.385,0.0336,0.946,0.0127,4,0.505,7,295200,-11.235,0.196,0
2JITVZu8o6ls9k8SoMRy7w,0.454,0.113,135.947,0.028,0.768,0.116,3,0.53,7,449773,-11.19,0.492,0
5PocwBP4qm33W4eQSZyVBZ,0.197,0.152,120.194,0.0573,0.99,0.878,4,0.621,7,214000,-14.483,0.569,1
6NF8MZ2trxckVBr82pyyPt,0.425,0.964,84.443,0.0346,0.719,0.0186,4,0.544,10,313200,-10.231,0.348,1
4aThNuFztJ15YremppiZUJ,0.308,0.115,115.459,0.0369,0.82,0.039,4,0.47,5,203467,-18.663,0.857,1
2g1iBv7SXxiXX0IEG4lz2k,0.0671,0.101,84.192,0.0397,0.966,0.779,4,0.54,1,286133,-18.633,0.316,1
0BFCbH1cxzeUSJBVwJGRLg,0.124,0.106,79.37,0.0562,0.792,0.0,4,0.567,0,162867,-16.446,0.343,1
1GZD0TZJHmdQaZsucHBmWT,0.273,0.979,63.423,0.0627,0.866,0.774,4,0.517,10,354573,-17.279,0.321,0
4JWfPMjVEh4SusNs8V3gt5,0.0278,0.213,103.016,0.0406,0.537,0.872,4,0.635,2,243333,-21.504,0.12,0
18A1V1vsy5YgHFqb4galTw,0.335,0.0849,132.682,0.0451,0.579,0.0128,4,0.803,8,330440,-13.331,0.786,1
38R2EViAkYOFG8ZkG3GLtW,0.352,0.11,120.235,0.0556,0.532,0.000141,4,0.671,0,342891,-11.511,0.396,1
0Otf1ZfYNIjhqFIuJk0fsy,0.452,0.14,166.973,0.0347,0.991,0.864,4,0.358,1,193867,-13.02,0.525,1
0Dt1B5dNfajRczQKZA87aL,0.302,0.171,86.925,0.0376,0.818,0.835,4,0.373,1,435267,-20.358,0.35,0
7CrNF9zL7tIQ2269DVxzST,0.4,0.11,113.615,0.036,0.851,0.352,4,0.588,7,403640,-11.914,0.468,0
0kUYnVS6z9YhL22l9pDDcB,0.231,0.101,74.937,0.0302,0.869,0.919,4,0.478,4,309200,-18.064,0.136,0
