id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
7zLmOXHzhuYlDpez5bAWmm,0.929,0.423,168.03,0.0592,0.00234,0.0,4,0.439,2,182276,-3.504,0.8,1
2TIEeLrOQrGnO2D2OeDDJu,0.517,0.144,118.399,0.0293,0.563,0.000164,4,0.856,6,185360,-9.232,0.479,0
6qRsqsnh3HrkUq0SLWvdie,0.612,0.25,111.007,0.0251,0.00687,0.0,4,0.703,9,215594,-6.112,0.591,1
28Sc21lrWcZD9Ov4rRkPJq,0.678,0.221,106.966,0.0278,0.44,1.45e-06,4,0.639,7,212133,-5.02,0.531,1
3Q9t1A12iUemHTAWnH7PjD,0.723,0.179,136.746,0.028,0.173,0.0,4,0.759,0,181973,-9.315,0.962,1
1A4sU22TOu9GUqQeZYqqoa,0.89,0.366,98.057,0.0556,0.029,0.0,4,0.523,9,192387,-3.534,0.429,1
0Iuw6WPws324i7G7sCejTX,0.673,0.119,175.954,0.0337,0.418,1.41e-05,4,0.469,6,174838,-8.015,0.578,1
5wane5dFpp8xgriui6y0c7,0.556,0.113,75.049,0.0365,0.146,3.91e-06,4,0.664,10,221267,-7.713,0.494,1
6NhpIdjYoufuNNlBsgOztc,0.903,0.304,161.992,0.0397,0.052,0.000529,4,0.511,10,227267,-3.163,0.898,1
2MiXC2LfpsoeUP5RvMGEQ3,0.51,0.105,169.967,0.103,0.52,8.32e-06,4,0.428,7,257267,-11.695,0.393,0
4vpMUn7giEsphJbZrkZSlg,0.983,0.285,155.888,0.114,0.0164,0.0,4,0.526,1,197053,-2.312,0.601,1
3OjNkFFZavF89xvRqWCXmU,0.538,0.0866,157.97,0.0309,0.327,4.61e-05,4,0.443,1,213307,-5.477,0.245,1
2A7j0RLnzvvlUFrevBiOQf,0.472,0.446,129.236,0.0271,0.539,0.0,4,0.637,5,179600,-7.295,0.349,1
7njoWVpJbAiTkyT6rKwbze,0.775,0.329,155.989,0.0345,0.168,0.0,4,0.593,5,133853,-7.016,0.896,1
5SpoN8sCoc05RfVde4raGN,0.639,0.178,109.263,0.0331,0.134,0.0,4,0.64,9,173867,-10.11,0.593,1
7uLQTOxQ3nwwoHuxwt2AHJ,0.697,0.0733,154.086,0.0266,0.218,0.0,4,0.627,8,177987,-6.61,0.933,1
35GoYj5urnSOCabDAKphBF,0.778,0.355,108.999,0.0288,0.359,0.0,4,0.648,4,222363,-5.649,0.592,1
7J9ARWRkMtXMYeF8RxJEjn,0.228,0.0936,78.31,0.0267,0.703,0.00198,4,0.605,7,252627,-16.116,0.285,1
7K4VxvIXXbDbaVn6ARbch1,0.887,0.273,112.016,0.0322,0.0387,1.79e-05,4,0.713,8,170813,-4.564,0.88,1
47qZzTLLJcuD69AIKnquo4,0.686,0.0988,78.052,0.0293,0.0287,0.00709,4,0.537,5,190973,-5.022,0.611,1
6F7UOC6fPWOkPqybOWBHSv,0.644,0.131,80.07,0.0309,0.271,0.0,4,0.575,6,195013,-5.68,0.626,0
46ELlro4wExQxafmUT6JQA,0.829,0.383,113.988,0.0381,0.00955,3.14e-06,4,0.66,10,147356,-5.743,0.947,1
0158TMiGmHyibaDeaUKayX,0.758,0.229,113.002,0.0243,0.00643,0.0,4,0.635,7,209253,-5.772,0.322,1
7riuy1t0Kt3SRgMtFxX0FR,0.788,0.144,128.961,0.035,0.232,0.0,4,0.64,7,243107,-9.012,0.774,1
2h5a6t9JFasqH5WJFPbmGL,0.878,0.291,176.249,0.0404,0.411,0.0,4,0.525,2,191200,-8.677,0.963,1
4wU7mkrYRl8FJe0zsDhS2W,0.611,0.207,79.954,0.0253,0.0378,6.87e-05,4,0.474,9,325300,-5.226,0.282,1
0qrst0xZAZ0NtMtuUcEq0f,0.654,0.283,135.787,0.0322,0.185,0.0,4,0.694,11,165013,-9.148,0.689,1
7s2NbKcFIJuEQumhvtHTAD,0.585,0.11,83.403,0.0337,0.199,0.0,4,0.533,4,182280,-9.789,0.472,1
52erNkfUKv34u02CjcHOPj,0.578,0.103,172.498,0.0663,0.164,0.0,4,0.674,4,186747,-10.919,0.961,1
3ODF56f90W3qxDqxHAUi3v,0.435,0.0351,122.385,0.0264,0.302,0.0,3,0.558,1,290467,-6.812,0.199,1
1pp4iX6p1vCm4QRKIZFVXI,0.785,0.133,171.94,0.0353,0.149,0.0,4,0.391,4,194067,-2.701,0.415,0
0gNrujgnSfw4LuSvd0Jbs6,0.64,0.0675,144.022,0.0295,0.0512,5.52e-05,4,0.523,4,230227,-6.15,0.48,1
3QvOV1QYPPre7gjppKyeON,0.757,0.336,140.664,0.0408,0.434,0.0,4,0.709,7,216693,-7.006,0.852,1
3wjD3Ufjll7UKrEDPdGuX3,0.695,0.0734,73.656,0.0318,0.437,0.00048,4,0.495,9,239173,-6.929,0.496,1
7cxOL3nvmqd6w811wOlWT1,0.428,0.114,131.784,0.0279,0.319,0.0,4,0.545,6,228173,-9.388,0.335,1
4SLrCOVGrXzJkT9dejzP0U,0.863,0.0885,110.048,0.0321,0.0056,0.0,4,0.572,10,228003,-4.578,0.552,1
4rQSLX4qMiUWL81hEQOuPY,0.68,0.159,90.607,0.0264,0.303,1.51e-05,4,0.701,2,212587,-8.492,0.704,1
3Wz9Fm9ZyhpaRGxMlSR5G4,0.702,0.0228,144.266,0.0325,0.344,0.0,4,0.605,2,211200,-9.621,0.734,1
3CiF9D8iuVhZWDvvjf8HpG,0.481,0.11,147.886,0.0255,0.227,0.000189,4,0.467,2,221240,-6.947,0.248,1
37KWffCdnLyHqvhugCQNM6,0.712,0.04,94.292,0.0253,0.418,2.28e-05,4,0.65,8,205733,-8.25,0.921,1
